text,labels
Tôi bị ho và sốt suốt ba ngày nay.,"['viêm phổi', 'sốt virus']"
Tôi thấy đau bụng dữ dội và tiêu chảy.,"['ngộ độc thực phẩm']"
Tôi thường xuyên chóng mặt và nhức đầu.,"['thiếu máu', 'cao huyết áp']"
"Khó thở, ho khan và cảm thấy mệt mỏi.","['covid-19', 'viêm phổi']"
"Tôi có triệu chứng giống như cảm cúm, đau họng và hắt hơi.","['cảm lạnh']"
"Tôi bị ngứa, nôn, mệt mỏi,đau bụng.","['Vàng da']"
"Tôi bị mệt mỏi, sụt cân, bồn chồn, đổ mồ hôi, tiêu chảy, nhịp tim nhanh, đói quá mức, yếu cơ, cáu kỉnh, kinh nguyệt bất thường.","['Cường giáp']"
"Tôi bị táo bón, đau khi đi tiêu, đau vùng hậu môn, phân có máu, kích ứng ở hậu môn.","['Trĩ hỗn hợp (lòi dom)']"
"Tôi bị ớn lạnh, nôn mửa, mệt mỏi, sụt cân, ho, sốt cao, đổ mồ hôi, chán ăn, sốt nhẹ, vàng mắt, sưng hạch bạch huyết, khó chịu, đờm, đau ngực, có máu trong đờm.","['Bệnh lao']"
"Tôi bị nôn mửa, da vàng, đau bụng, chướng bụng, tiền sử uống rượu, thừa dịch.","['Viêm gan do rượu']"
"Tôi bị nôn, khó thở, đổ mồ hôi, đau ngực.","['Đau tim']"
"Tôi bị đau dạ dày, ợ nóng, loét lưỡi, nôn mửa, ho, đau ngực","['Gerd']"
"Tôi bị phát ban da, ớn lạnh, đau khớp, nôn mửa, mệt mỏi, sốt cao, nhức đầu, buồn nôn, chán ăn, đau sau mắt, đau lưng, khó chịu, đau cơ, đốm đỏ trên cơ thể.","['Sốt xuất huyết']"
"Tôi bị nôn mửa, đau đầu, thay đổi cảm giác","['Liệt (Xuất huyết não)']"
"Tôi bị tiểu buốt, khó chịu ở bàng quang, cảm giác liên tục đi tiểu","['Nhiễm trùng đường tiết niệu']"
"Tôi bị phát ban da, sốt cao, phồng rộp, lở đỏ quanh mũi, rỉ dịch vảy vàng","['chốc lở']"
"Tôi bị ngứa, da vàng, buồn nôn, chán ăn, đau bụng, vàng mắt","['Bệnh ứ mật mãn tính']"
"Tôi bị đau bụng hoặc khó chịu, tình trạng này tệ hơn khi tôi ăn hoặc uống. Tôi chán ăn và cảm thấy mệt mỏi sau khi đi vệ sinh. Tôi cảm thấy rất mệt mỏi mọi lúc","['Bệnh loét dạ dày tá tràng']"
"Tôi bị nóng rát ở dạ dày. Cảm giác tệ hơn khi tôi ăn hoặc uống. Tôi cũng bị ợ nóng, khó tiêu và buồn nôn.","['Bệnh loét dạ dày tá tràng']"
"Tôi bị ớn lạnh, nôn mửa, sốt cao, đổ mồ hôi, đau đầu, buồn nôn, tiêu chảy, đau cơ","['Sốt rét']"
"Tôi bị phát ban da, sốt cao, phồng rộp, lở đỏ quanh mũi, rỉ dịch vảy vàng","['chốc lở']"
"Tôi bị nôn mửa, mắt trũng sâu, mất nước, tiêu chảy","['Viêm dạ dày ruột']"
"Tôi bị ngứa , nôn, mệt mỏi, sụt cân, sốt cao, da vàng, nước tiểu sẫm màu, đau bụng","['Vàng da']"
"Tôi bị đau dạ dày, ợ nóng, loét lưỡi, nôn mửa, ho, đau ngực","['Gerd']"
"Tôi bị mệt mỏi, chuột rút, bầm tím, béo phì, chân bị sưng, tĩnh mạch nổi rõ ở bắp chân","['Tĩnh mạch giãn']"
"Tôi bị đau khớp, mệt mỏi, sốt cao, da vàng, nước tiểu sẫm màu, buồn nôn, chán ăn, đau bụng, vàng mắt, suy gan cấp, hôn mê, chảy máu dạ dày","['Viêm gan E']"
"Tôi bị mệt mỏi, da vàng, buồn nôn, chán ăn, vàng mắt, tiền sử gia đình","['Viêm gan C']"
"Tôi bị mụn mủ, mụn đầu đen, mụn bọc","['mụn trứng cá']"
